Brand,Memory,Storage,Rating,Selling Price,Cluster,Price Change,Rating Change,Elasticity
Nokia,4,4,4.2,1000,Cluster 2,-0.384615385,0,0
GIONEE,8,16,3.9,1099,Cluster 1,-0.737708831,0.026315789,-0.035672325
GIONEE,8,16,3.7,1099,Cluster 1,-0.860886076,-0.119047619,0.138284986
Nokia,4,4,4.2,1149,Cluster 2,-0.710870659,0.105263158,-0.148076386
Nokia,4,4,4.2,1332,Cluster 2,-0.005970149,0,0
Nokia,4,4,4.2,1340,Cluster 2,-0.006671609,0,0
Nokia,32,2,4.1,1344,Cluster 2,0.009009009,-0.023809524,-2.642857143
Nokia,4,4,4.2,1349,Cluster 2,-0.795606061,0.105263158,-0.132305626
Nokia,4,4,4.2,1349,Cluster 2,-0.094630872,0,0
Nokia,4,4,4.2,1399,Cluster 2,0.040922619,0.024390244,0.596008869
Nokia,4,4,4.2,1399,Cluster 2,-0.892376337,0.076923077,-0.086200265
Nokia,4,4,4.2,1400,Cluster 2,-0.3,0,0
SAMSUNG,128,2,4.2,1450,Cluster 2,-0.87654321,0,0
Nokia,4,4,4.2,1490,Cluster 2,-0.399193548,0.024390244,-0.061098793
Nokia,4,4,4.2,1500,Cluster 2,-0.794492396,0.135135135,-0.170089904
SAMSUNG,153,153,4.1,1549,Cluster 2,-0.931002227,-0.023809524,0.025574078
Nokia,4,4,4.2,1560,Cluster 2,-0.913232104,0,0
Nokia,16,10,3.6,1599,Cluster 1,-0.783889715,-0.052631579,0.067141561
SAMSUNG,10,2,4.4,1599,Cluster 2,-0.973305509,-0.043478261,0.044670723
Nokia,4,8,4.2,1600,Cluster 2,-0.272727273,0.024390244,-0.089430894
Nokia,4,8,4.2,1625,Cluster 2,-0.876884612,-0.023255814,0.026520951
Nokia,4,4,4.2,1660,Cluster 2,-0.126315789,0,0
Nokia,4,4,4.1,1680,Cluster 2,-0.31147541,0,0
Nokia,4,4,4.1,1680,Cluster 2,-0.336754836,0,0
Nokia,4,4,4.1,1695,Cluster 2,0.2115797,-0.023809524,-0.112532175
SAMSUNG,512,512,4.2,1700,Cluster 3,-0.886659111,-0.023255814,0.026228585
Nokia,4,16,4.2,1860,Cluster 2,0.86,-0.023255814,-0.027041644
GIONEE,8,16,3.9,1890,Cluster 1,-0.4,0,0
Nokia,4,4,4.2,1900,Cluster 2,0.1875,0,0
SAMSUNG,100,100,5,1949,Cluster 0,-0.973519022,0.111111111,-0.114133477
Nokia,4,4,4.2,2000,Cluster 2,-0.733297773,0.105263158,-0.143547631
SAMSUNG,16,2,4.2,2025,Cluster 2,-0.933606557,-0.023255814,0.024909651
SAMSUNG,4,2,4.2,2050,Cluster 2,-0.841085271,-0.023255814,0.02764977
SAMSUNG,32,2,4.2,2089,Cluster 2,-0.97177027,-0.023255814,0.023931391
Nokia,4,4,3.9,2142,Cluster 1,-0.821485124,0,0
Nokia,4,4,4.2,2149,Cluster 2,-0.785078508,0.05,-0.063687898
GIONEE,8,16,4,2199,Cluster 1,-0.681258153,0,0
Nokia,8,32,4.1,2200,Cluster 2,0.571428571,-0.023809524,-0.041666667
SAMSUNG,2,2,4.1,2200,Cluster 2,-0.779977998,0,0
Nokia,4,4,3.8,2249,Cluster 1,0.66716086,-0.095238095,-0.142751323
SAMSUNG,4,2,4.2,2282,Cluster 2,-0.801547961,0.05,-0.062379299
SAMSUNG,10,2,4.3,2290,Cluster 2,-0.831617647,0,0
GIONEE,512,4,3.6,2290,Cluster 3,-0.345527294,0.028571429,-0.082689354
